glottocode,name,level,glot_path,family
sout3264,Southern Rif,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234/east2804/sout3264,afro1255
meta1239,Metalsa,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234/east2804/sout3264/meta1239,afro1255
riff1234,Riffian,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234,afro1255
boqq1234,Boqqoya,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234/west2882/boqq1234,afro1255
west2882,Western Rif,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234/west2882,afro1255
urri1238,Urrighel,dialect,afro1255/berb1260/grea1296/zena1250/tari1263/riff1234/west2882/urri1238,afro1255
zuar1239,Zuara-Sened,family,afro1255/berb1260/grea1296/zena1250/zuar1239,afro1255
sene1271,Sened,language,afro1255/berb1260/grea1296/zena1250/zuar1239/sene1271,afro1255
nucl1705,Nuclear Sened,dialect,afro1255/berb1260/grea1296/zena1250/zuar1239/sene1271/nucl1705,afro1255
tmag1238,Tmagourt,dialect,afro1255/berb1260/grea1296/zena1250/zuar1239/sene1271/tmag1238,afro1255
tuni1262,Tunisian-Zuwara Berber,language,afro1255/berb1260/grea1296/zena1250/zuar1239/tuni1262,afro1255
cent2195,Central Atlas,dialect,afro1255/berb1260/kaby1244/atla1275/cent2194/cent2195,afro1255
cent2194,Central Moroccan Berber,language,afro1255/berb1260/kaby1244/atla1275/cent2194,afro1255
stan1324,Standard Moroccan Tamazight,dialect,afro1255/berb1260/kaby1244/atla1275/cent2194/stan1324,afro1255
atla1275,Atlas Berber,family,afro1255/berb1260/kaby1244/atla1275,afro1255
ghom1257,Ghomara,language,afro1255/berb1260/kaby1244/atla1275/nort3248/ghom1257,afro1255
nort3248,Northwestern Moroccan Berber,family,afro1255/berb1260/kaby1244/atla1275/nort3248,afro1255
senh1238,Senhaja De Srair,language,afro1255/berb1260/kaby1244/atla1275/nort3248/senh1238,afro1255
tach1250,Tachelhit,language,afro1255/berb1260/kaby1244/atla1275/tach1250,afro1255
susi1238,Susiua,dialect,afro1255/berb1260/kaby1244/atla1275/tach1250/susi1238,afro1255
grea1281,Western Kabyle,dialect,afro1255/berb1260/kaby1244/kaby1243/grea1281,afro1255
less1241,Eastern Kabyle,dialect,afro1255/berb1260/kaby1244/kaby1243/less1241,afro1255
kaby1243,Kabyle,language,afro1255/berb1260/kaby1244/kaby1243,afro1255
kaby1244,Kabyle-Atlas Berber,family,afro1255/berb1260/kaby1244,afro1255
berb1260,Berber,family,afro1255/berb1260,afro1255
jbal1238,Jbali-Tamezret,dialect,afro1255/berb1260/nafu1238/jbal1238,afro1255
jerb1241,Jerba,dialect,afro1255/berb1260/nafu1238/jerb1241,afro1255
jerb1242,Jerbi,dialect,afro1255/berb1260/nafu1238/jerb1242,afro1255
nafu1238,Nafusi,language,afro1255/berb1260/nafu1238,afro1255
tame1243,Tamezret,dialect,afro1255/berb1260/nafu1238/tame1243,afro1255
tuar1240,Tuareg,family,afro1255/berb1260/tuar1240,afro1255
sout3263,Southern Tuareg,family,afro1255/berb1260/tuar1240/sout3263,afro1255
tama1365,Tamasheq,language,afro1255/berb1260/tuar1240/sout3263/tama1365,afro1255
tadg1238,Tadghaq,dialect,afro1255/berb1260/tuar1240/sout3263/tama1365/tadg1238,afro1255
tadh1242,Tadhaq,dialect,afro1255/berb1260/tuar1240/sout3263/tama1365/tadh1242,afro1255
timb1263,Timbuktu,dialect,afro1255/berb1260/tuar1240/sout3263/tama1365/timb1263,afro1255
ioul1238,Ioullemmeden,dialect,afro1255/berb1260/tuar1240/sout3263/tawa1286/ioul1238,afro1255
tawa1286,Tawallammat Tamajaq,language,afro1255/berb1260/tuar1240/sout3263/tawa1286,afro1255
tawa1287,Tawallammat Tan Ataram,dialect,afro1255/berb1260/tuar1240/sout3263/tawa1286/tawa1287,afro1255
tawa1288,Tawallammat Tan Dannag,dialect,afro1255/berb1260/tuar1240/sout3263/tawa1286/tawa1288,afro1255
airr1242,Air (Berber),dialect,afro1255/berb1260/tuar1240/sout3263/taya1257/airr1242,afro1255
taya1257,Tayart Tamajeq,language,afro1255/berb1260/tuar1240/sout3263/taya1257,afro1255
tana1297,Tanassfarwat,dialect,afro1255/berb1260/tuar1240/sout3263/taya1257/tana1297,afro1255
ghat1242,Ghat,dialect,afro1255/berb1260/tuar1240/taha1241/ghat1242,afro1255
hogg1238,Hoggar,dialect,afro1255/berb1260/tuar1240/taha1241/hogg1238,afro1255
taha1241,Tahaggart Tamahaq,language,afro1255/berb1260/tuar1240/taha1241,afro1255
